City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Kismayo,SO,-0.3582,42.5454,83.25,74,78,10.54,broken clouds
165,Balkanabat,TM,39.5108,54.3671,77.88,27,5,4.09,clear sky
166,Mabai,CN,23.0128,104.4508,69.94,81,83,5.08,moderate rain
167,Grand Baie,MU,-20.0182,57.5802,77.0,85,100,5.99,light rain
168,Rawson,AR,-43.3002,-65.1023,59.29,52,28,17.43,scattered clouds
169,Avera,US,33.194,-82.5271,59.0,67,1,8.05,clear sky
170,Airai,TL,-8.9266,125.4092,74.25,39,36,2.98,scattered clouds
171,Kloulklubed,PW,7.0419,134.2556,86.0,74,75,16.11,broken clouds
172,Castro,BR,-24.7911,-50.0119,55.74,96,80,2.53,broken clouds
173,Bereda,ES,43.2686,-7.5406,48.0,100,98,1.01,overcast clouds
174,Ribeira Grande,PT,38.5167,-28.7,59.0,72,20,4.61,few clouds
175,Codrington,AU,-38.2667,141.9667,60.84,66,100,11.07,overcast clouds
176,Khatanga,RU,71.9667,102.5,16.77,86,100,17.02,overcast clouds
177,Kaitangata,NZ,-46.2817,169.8464,48.0,66,100,4.0,overcast clouds
178,San Jose,US,37.3394,-121.895,53.6,71,75,8.05,broken clouds
179,Pecos,US,31.4229,-103.4932,80.6,22,1,14.97,clear sky
180,Phek,IN,25.6667,94.5,83.61,14,81,0.58,broken clouds
181,Astana,KZ,51.1801,71.446,57.2,58,0,8.95,clear sky
182,Krasnogorsk,RU,55.8225,37.3181,33.8,75,0,15.66,clear sky
183,Talnakh,RU,69.4865,88.3972,10.36,85,98,8.66,overcast clouds
184,Taseyevo,RU,57.2169,94.8978,37.42,95,100,8.03,overcast clouds
185,Burnie,AU,-41.0667,145.9167,59.0,64,15,15.01,few clouds
186,Manggar,ID,-2.8833,108.2667,86.58,61,21,9.08,few clouds
187,Cidreira,BR,-30.1811,-50.2056,63.91,64,65,12.66,broken clouds
188,Naze,JP,28.3667,129.4833,75.2,69,40,19.57,scattered clouds
189,Yumen,CN,40.2833,97.2,51.46,9,7,19.17,clear sky
190,Moranbah,AU,-22.0016,148.0466,79.54,37,37,14.29,scattered clouds
191,Huarmey,PE,-10.0681,-78.1522,67.19,85,10,9.15,clear sky
192,Kaeng Khoi,TH,14.5862,100.9976,95.0,61,51,8.1,broken clouds
193,Mae Ramat,TH,16.984,98.5166,86.0,70,20,2.3,few clouds
194,Poya,NC,-21.35,165.15,76.19,70,78,11.45,broken clouds
195,Lata,PT,40.1629,-8.3327,57.2,88,40,5.75,scattered clouds
196,Doume,CM,4.2333,13.45,68.49,86,52,0.34,broken clouds
197,Fuerte Olimpo,PY,-21.0415,-57.8738,69.53,73,100,3.87,overcast clouds
198,Kirkwood,US,38.5834,-90.4068,57.99,65,19,9.57,few clouds
199,Xingcheng,CN,40.6167,120.7167,60.84,34,91,15.03,overcast clouds
200,Bandipur,NP,27.9333,84.4167,88.88,8,0,2.71,clear sky
201,Gazli,UZ,40.1333,63.45,72.43,17,0,23.58,clear sky
202,Hami,CN,42.8,93.45,51.48,10,54,4.41,broken clouds
203,Parit Buntar,MY,5.1267,100.4932,89.6,74,20,2.3,few clouds
204,Lorengau,PG,-2.0226,147.2712,85.35,66,92,2.28,overcast clouds
205,Broken Hill,AU,-31.95,141.4333,69.8,37,0,11.5,clear sky
206,Tazovskiy,RU,67.4667,78.7,24.12,92,100,13.44,overcast clouds
207,Necochea,AR,-38.5473,-58.7368,55.0,92,48,4.07,scattered clouds
208,Great Bend,US,38.3645,-98.7648,66.99,68,1,20.71,clear sky
209,Shingu,JP,33.7333,135.9833,62.6,45,0,18.41,clear sky
210,Hovd,MN,48.0056,91.6419,36.57,19,1,2.42,clear sky
211,Along,IN,28.1667,94.7667,92.23,23,17,0.72,few clouds
212,Shelburne,CA,44.0787,-80.2041,34.0,75,31,11.54,scattered clouds
213,Ust-Ilimsk,RU,58.0006,102.6619,39.27,71,100,12.68,light snow
214,Alofi,NU,-19.0595,-169.9187,84.2,74,84,3.44,broken clouds
215,Ondjiva,AO,-17.0667,15.7333,59.49,41,2,6.08,clear sky
216,Veraval,IN,20.9,70.3667,88.57,50,1,11.97,clear sky
217,Mossendjo,CG,-2.9506,12.7261,69.26,99,46,1.14,light rain
218,San Pedro,PH,14.35,121.0167,87.8,66,40,8.05,scattered clouds
219,Bethel,US,41.3712,-73.414,53.6,50,40,5.75,scattered clouds
220,Sao Lourenco,BR,-22.1164,-45.0544,57.4,79,47,1.97,scattered clouds
221,Maniitsoq,GL,65.4167,-52.9,38.57,77,100,4.83,overcast clouds
222,Challapata,BO,-18.9,-66.7667,38.44,26,0,0.49,clear sky
223,Marsh Harbour,BS,26.5412,-77.0636,77.85,75,0,9.93,clear sky
