City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
501,Salalah,OM,84.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
512,Kudat,MY,84.2,scattered clouds,6.8837,116.8477,Dream Garden Hotel
519,Mersing,MY,89.6,scattered clouds,2.4312,103.8405,Timotel Hotel
520,Grand Gaube,MU,77.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
527,Kieta,PG,85.73,few clouds,-6.2167,155.6333,Uruna Bay Retreat
528,Akhmim,EG,75.2,clear sky,26.5622,31.745,برج الماسة السكني
530,Kattivakkam,IN,87.8,scattered clouds,13.2167,80.3167,Raj's villa
546,Yaring,TH,89.6,few clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
550,Camacari,BR,78.8,scattered clouds,-12.6975,-38.3242,Hotel Cambuci
558,Quatre Cocos,MU,77.0,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
559,Mormugao,IN,83.68,overcast clouds,15.4,73.8,Coconut Creek Resort
561,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
563,Alice Springs,AU,78.8,clear sky,-23.7,133.8833,Desert Palms Alice Springs
565,Road Town,VG,79.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
566,Porto Novo,BJ,84.2,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
568,Hajipur,IN,87.8,haze,25.6833,85.2167,Circuit House
572,Tutoia,BR,78.21,broken clouds,-2.7619,-42.2744,Pousada Guará's
573,Ixtapa,MX,78.01,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
577,Bandarbeyla,SO,82.71,overcast clouds,9.4942,50.8122,JABIR HOTEL
579,San Policarpo,PH,81.82,few clouds,12.1791,125.5072,JM Lodge
582,Sharjah,AE,87.8,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
585,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
589,Sabang,ID,83.53,overcast clouds,5.8933,95.3214,Hotel Citra
591,Nsukka,NG,80.6,clear sky,6.8561,7.3927,Golden Eve Hotel
594,Sola,VU,87.8,scattered clouds,-13.8833,167.55,Leumerus Bungalows
597,Waingapu,ID,84.85,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
610,Acapulco,MX,79.84,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
612,Noumea,NC,77.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
616,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
623,Hambantota,LK,84.2,few clouds,6.1241,81.1185,Bungalow 63
624,Tual,ID,83.05,broken clouds,-5.6667,132.75,Grand Vilia Hotel
629,Saint-Georges,GD,78.8,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
633,Sur,OM,88.86,few clouds,22.5667,59.5289,Sur Plaza Hotel
634,Savannah Bight,HN,81.0,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
636,Hervey Bay,AU,77.0,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
637,Thai Nguyen,VN,75.2,clear sky,21.5928,105.8442,Đông Dương Hotel
