City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Port-Gentil,GA,2021-04-26 00:12:31,-0.7193,8.7815,82.44,77,0,8.1
90,Qaanaaq,GL,2021-04-26 00:12:31,77.484,-69.3632,28.58,70,8,7.9
91,Esperance,AU,2021-04-26 00:12:31,-33.8667,121.9,59.0,55,0,16.11
92,Thompson,CA,2021-04-26 00:11:30,55.7435,-97.8558,32.0,93,75,4.61
93,Bata,GQ,2021-04-26 00:12:32,1.8639,9.7658,79.39,83,64,5.93
94,Pangnirtung,CA,2021-04-26 00:12:32,66.1451,-65.7125,32.14,87,99,3.44
95,Pyay,MM,2021-04-26 00:12:33,18.8167,95.2167,81.14,71,69,5.55
96,Nkoteng,CM,2021-04-26 00:12:34,4.5167,12.0333,69.03,96,92,1.97
97,Caala,AO,2021-04-26 00:12:35,-12.8525,15.5606,58.91,69,79,0.67
98,Nikolskoye,RU,2021-04-26 00:12:35,59.7035,30.7861,37.99,87,90,8.95
99,Ancud,CL,2021-04-26 00:12:36,-41.8697,-73.8203,54.0,87,90,4.61
100,Samarai,PG,2021-04-26 00:12:36,-10.6167,150.6667,84.72,71,63,12.03
101,Vaini,TO,2021-04-26 00:07:46,-21.2,-175.2,80.6,83,75,6.91
102,Berlevag,NO,2021-04-26 00:12:37,70.8578,29.0864,29.84,85,71,14.23
103,Thomaston,US,2021-04-26 00:12:38,32.8882,-84.3266,69.8,48,1,6.91
104,Ribeira Grande,PT,2021-04-26 00:12:38,38.5167,-28.7,57.2,82,20,6.91
105,Saldanha,ZA,2021-04-26 00:12:39,-33.0117,17.9442,60.8,94,81,5.75
106,Javanrud,IR,2021-04-26 00:12:40,34.7961,46.5172,59.2,35,11,4.5
107,Iqaluit,CA,2021-04-26 00:12:25,63.7506,-68.5145,32.0,93,75,3.44
108,Brae,GB,2021-04-26 00:12:41,60.3964,-1.353,41.0,93,99,4.61
109,Malinyi,TZ,2021-04-26 00:12:41,-8.9333,36.1333,70.45,98,94,0.22
110,Lorengau,PG,2021-04-26 00:11:12,-2.0226,147.2712,84.27,67,72,3.91
111,Hulan,CN,2021-04-26 00:12:42,45.9833,126.6,46.4,49,0,4.47
112,Pevek,RU,2021-04-26 00:12:43,69.7008,170.3133,22.55,89,100,8.81
113,Nanortalik,GL,2021-04-26 00:12:43,60.1432,-45.2371,39.25,85,100,7.7
114,Manyana,BW,2021-04-26 00:12:43,-23.4,21.7167,62.08,31,27,3.22
115,Oranjemund,NA,2021-04-26 00:12:44,-28.55,16.4333,62.02,90,100,3.96
116,Tazmalt,DZ,2021-04-26 00:12:44,36.3868,4.3989,63.91,49,27,7.56
117,Kaka,TM,2021-04-26 00:12:45,37.3482,59.6143,72.09,27,2,7.02
118,Arraial Do Cabo,BR,2021-04-26 00:12:45,-22.9661,-42.0278,74.3,82,94,8.59
119,Isetskoye,RU,2021-04-26 00:12:46,56.4858,65.3226,41.04,91,71,6.67
120,Dandong,CN,2021-04-26 00:12:46,40.1292,124.3947,60.53,30,95,4.34
121,Chuy,UY,2021-04-26 00:11:50,-33.6971,-53.4616,59.49,83,53,9.48
122,Durazno,UY,2021-04-26 00:12:16,-33.4131,-56.5006,55.4,94,0,7.81
123,Nola,IT,2021-04-26 00:12:47,40.922,14.5329,51.8,76,0,1.14
124,Auki,SB,2021-04-26 00:10:13,-8.7676,160.7034,85.03,72,81,2.84
125,Tiksi,RU,2021-04-26 00:08:46,71.6872,128.8694,27.45,95,100,5.17
126,Ponta Do Sol,PT,2021-04-26 00:11:47,32.6667,-17.1,57.99,86,51,3.0
127,Sur,OM,2021-04-26 00:11:10,22.5667,59.5289,83.35,44,30,7.54
128,Tuatapere,NZ,2021-04-26 00:11:10,-46.1333,167.6833,46.99,90,94,8.99
129,Sorland,NO,2021-04-26 00:12:49,67.667,12.6934,37.51,61,87,8.41
130,Isabela,PH,2021-04-26 00:12:49,6.7085,121.9711,80.6,83,75,3.87
131,Puerto Concordia,CO,2021-04-26 00:12:50,2.6221,-72.7572,76.39,88,100,2.55
132,Dekar,BW,2021-04-26 00:12:50,-21.5333,21.9333,62.38,30,1,5.26
133,Manta,EC,2021-04-26 00:12:51,-0.95,-80.7333,78.8,73,0,9.22
134,Jamestown,US,2021-04-26 00:09:19,42.097,-79.2353,41.0,70,90,17.27
135,Tasiilaq,GL,2021-04-26 00:11:11,65.6145,-37.6368,39.2,70,90,11.5
136,Coquimbo,CL,2021-04-26 00:12:52,-29.9533,-71.3436,57.2,82,0,5.75
137,Ternate,ID,2021-04-26 00:12:53,0.8,127.4,83.32,73,72,4.41
138,Suntar,RU,2021-04-26 00:12:12,62.1444,117.6319,33.42,98,100,5.26
139,Pakokku,MM,2021-04-26 00:12:53,21.3333,95.1,86.9,50,16,10.18
140,Walvis Bay,NA,2021-04-26 00:12:54,-22.9575,14.5053,61.0,92,12,1.01
141,Kodiak,US,2021-04-26 00:09:41,57.79,-152.4072,42.8,75,90,12.66
142,Havelock,US,2021-04-26 00:11:23,34.8791,-76.9013,62.01,73,44,5.21
143,Ust-Nera,RU,2021-04-26 00:12:55,64.5667,143.2,17.8,85,89,5.61
144,Chifeng,CN,2021-04-26 00:12:55,42.2683,118.9636,57.15,46,95,11.72
145,Faanui,PF,2021-04-26 00:12:56,-16.4833,-151.75,81.12,65,20,3.06
146,Lata,PT,2021-04-26 00:12:56,40.1629,-8.3327,59.0,91,92,3.65
147,Rosetta,EG,2021-04-26 00:12:57,31.4044,30.4164,62.6,82,40,12.66
148,Mildura,AU,2021-04-26 00:12:57,-34.2,142.15,63.0,55,0,4.61
149,Margate,GB,2021-04-26 00:12:58,51.3813,1.3862,43.0,70,24,5.01
150,Shitanjing,CN,2021-04-26 00:12:58,39.2342,106.3439,40.42,23,14,18.57
151,Rochegda,RU,2021-04-26 00:12:59,62.8,43.25,39.92,95,100,3.74
152,Tobermory,CA,2021-04-26 00:12:59,45.2501,-81.6665,37.4,60,54,14.97
153,Altay,CN,2021-04-26 00:13:00,47.8667,88.1167,30.31,32,43,7.25
154,Hay River,CA,2021-04-26 00:10:28,60.8156,-115.7999,23.0,86,90,10.36
155,Pacific Grove,US,2021-04-26 00:13:01,36.6177,-121.9166,55.99,79,100,9.26
156,Miri,MY,2021-04-26 00:13:01,4.4148,114.0089,78.8,94,20,2.3
157,Isangel,VU,2021-04-26 00:13:02,-19.55,169.2667,82.4,74,75,11.5
158,Kolda,SN,2021-04-26 00:13:03,12.8833,-14.95,91.4,25,2,9.22
159,East London,ZA,2021-04-26 00:13:03,-33.0153,27.9116,67.62,59,98,9.31
160,Te Anau,NZ,2021-04-26 00:13:04,-45.4167,167.7167,48.96,84,100,9.42
161,Komsomolskiy,UZ,2021-04-26 00:13:04,40.4272,71.7189,59.0,47,0,6.91
162,Sola,VU,2021-04-26 00:11:56,-13.8833,167.55,86.0,70,40,7.54
163,Fort-Shevchenko,KZ,2021-04-26 00:13:05,44.5086,50.263,54.97,85,99,19.46
164,Ushtobe,KZ,2021-04-26 00:13:05,45.2514,77.9838,50.36,53,73,4.32
165,Helong,CN,2021-04-26 00:13:06,42.5397,128.9972,54.0,29,80,2.91
